Pathogen,taxa
H1,A/South_Carolina/NHRC0002/2011|A/South_Carolina/NHRC0002/2011|HA|unknown|01/29/2011
H1,A/Illinois/NHRC0001/2011|A/Illinois/NHRC0001/2011|HA|unknown|01/26/2011
H1,2011767824_196341_v1_4|A/Minnesota/03/2011|HA|pdm09|02/18/2011
H1,2011704973_193182_v1_4|A/Minnesota/01/2011|HA|pdm09|01/06/2011
H1,2011769059_197183_v1_4|A/Washington/09/2011|HA|pdm09|03/08/2011
H1,2011768989_197263_v1_4|A/Washington/08/2011|HA|pdm09|02/10/2011
H1,2011705082_193007_v1_4|A/Washington/02/2011|HA|pdm09|01/05/2011
H1,2011813088_201990_v1_4|A/New_York/07/2011|HA|pdm09|03/14/2011
H1,2011769317_200357_v1_4|A/California/20/2011|HA|pdm09|02/21/2011
H1,2011705450_194447_v1_4|A/California/15/2011|HA|pdm09|02/09/2011
H1,2011769108_197241_v1_4|A/California/19/2011|HA|pdm09|03/02/2011
H1,2011702627_188876_v1_4|A/California/22/2010|HA|pdm09|10/29/2010
H1,2011766746_197483_v1_4|A/Ohio/04/2011|HA|pdm09|02/01/2011
H1,2011704603_189826_v1_4|A/Rhode_Island/03/2010|HA|pdm09|11/18/2010
H1,2011769293_200019_v1_4|A/Arizona/02/2011|HA|pdm09|03/08/2011
H1,2011767889_195611_v1_4|A/Arizona/01/2011|HA|pdm09|02/01/2011
H1,2011810900_199634_v1_4|A/Hawaii/01/2011|HA|pdm09|03/01/2011
H1,2011702615_188874_v1_4|A/Hawaii/16/2010|HA|pdm09|10/05/2010
H1,2011764813_196607_v1_4|A/Nebraska/13/2011|HA|pdm09|02/25/2011
H1,2011702473_192732_v1_4|A/Nebraska/06/2011|HA|pdm09|01/20/2011
H1,2011705051_193002_v1_4|A/Oklahoma/01/2011|HA|pdm09|01/04/2011
H1,2011702595_188436_v1_4|A/Oklahoma/01/2010|HA|pdm09|09/25/2010
H1,2011764487_194225_v1_4|A/New_York/01/2011|HA|pdm09|01/04/2011
H1,2011767115_199903_v1_4|A/Tennessee/02/2011|HA|pdm09|03/08/2011
H1,2011766928_197626_v1_4|A/Wisconsin/11/2011|HA|pdm09|02/25/2011
H1,2011769183_201393_v1_4|A/Louisiana/07/2011|HA|pdm09|03/24/2011
H1,2011766847_198211_v1_4|A/Wisconsin/35/2011|HA|pdm09|02/25/2011
H1,2011766788_198081_v1_4|A/Wisconsin/18/2011|HA|pdm09|02/06/2011
H1,2011766784_198206_v1_4|A/Wisconsin/15/2011|HA|pdm09|02/14/2011
H1,2011767126_198772_v1_4|A/Wisconsin/17/2011|HA|pdm09|03/17/2011
H1,2011703134_186796_v1_4|A/Wisconsin/10/2010|HA|pdm09|10/02/2010
H1,2011769300_200491_v1_4|A/Arkansas/03/2011|HA|pdm09|04/14/2011
H1,2011811374_200628_v1_4|A/Michigan/03/2011|HA|pdm09|03/30/2011
H1,2011704717_195588_v1_4|A/Missouri/03/2010|HA|pdm09|11/30/2010
H1,2011704885_195480_v1_4|A/Massachusetts/04/2011|HA|pdm09|01/08/2011
H1,2010733402_184968_v1_4|A/Massachusetts/03/2010|HA|pdm09|09/02/2010
H1,2010730545_185913_v1_4|A/Florida/16/2010|HA|pdm09|09/01/2010
H1,2011766859_198742_v1_4|A/Mississippi/07/2011|HA|pdm09|02/23/2011
H1,2011766541_197525_v1_4|A/Indiana/04/2011|HA|pdm09|01/19/2011
H1,2011769016_197274_v1_4|A/Oregon/04/2011|HA|pdm09|02/07/2011
H1,2011766553_195569_v1_4|A/Montana/03/2011|HA|pdm09|02/02/2011
H1,2011770256_202109_v1_4|A/Connecticut/08/2011|HA|pdm09|04/02/2011
H1,2011704756_191337_v1_4|A/Connecticut/07/2010|HA|pdm09|12/14/2010
H1,2011700565_187961_v1_4|A/Kentucky/09/2010|HA|pdm09|11/01/2010
H1,2011769134_199055_v1_4|A/Alaska/11/2011|HA|pdm09|03/09/2011
H1,2011705189_193734_v1_4|A/Alaska/07/2011|HA|pdm09|01/24/2011
H1,2011764882_200238_v1_4|A/Pennsylvania/07/2011|HA|pdm09|02/28/2011
H1,2011766351_200610_v1_4|A/Pennsylvania/02/2011|HA|pdm09|02/22/2011
H1,2011767626_194096_v1_4|A/Pennsylvania/01/2011|HA|pdm09|01/22/2011
H1,2011766913_198745_v1_4|A/Colorado/05/2011|HA|pdm09|03/08/2011
H1,2011700845_193719_v1_4|A/Colorado/11/2010|HA|pdm09|12/29/2010
H1,2011704509_187871_v1_4|A/New_Hampshire/03/2010|HA|pdm09|10/04/2010
H1,2011704494_195474_v1_4|A/South_Carolina/02/2011|HA|pdm09|01/05/2011
H1,2011700987_192312_v1_4|A/Illinois/03/2010|HA|pdm09|12/06/2010
H1,2011704446_195468_v1_4|A/Illinois/02/2011|HA|pdm09|01/12/2011
H1,2011768957_195402_v1_4|A/Idaho/04/2011|HA|pdm09|02/07/2011
H1,2011767958_197527_v1_4|A/Maryland/05/2011|HA|pdm09|01/24/2011
H1,2011705004_199202_v1_4|A/Texas/01/2011|HA|pdm09|01/05/2011
H1,2011767843_197526_v1_4|A/Maine/04/2011|HA|pdm09|02/17/2011
H1,2011769360_200759_v1_4|A/New_Mexico/10/2011|HA|pdm09|03/29/2011
H1,2011769353_201106_v1_4|A/New_Mexico/08/2011|HA|pdm09|04/19/2011
H1,2011769215_199484_v1_4|A/New_Mexico/05/2011|HA|pdm09|02/09/2011
H1,2011770104_200053_v1_4|A/New_York/03/2011|HA|pdm09|03/20/2011
H1,2011768710_197533_v1_4|A/Delaware/06/2011|HA|pdm09|02/04/2011
H1,2011766268_194199_v1_4|A/North_Carolina/13/2011|HA|pdm09|01/31/2011
H1,2011767042_198562_v1_4|A/North_Carolina/09/2011|HA|pdm09|01/20/2011
H1,2011767040_198560_v1_4|A/North_Carolina/08/2011|HA|pdm09|03/01/2011
H1,2011766776_197489_v1_4|A/North_Carolina/06/2011|HA|pdm09|01/20/2011
H1,2011766266_194197_v1_4|A/North_Carolina/03/2011|HA|pdm09|01/18/2011
H1,2011766650_194950_v1_4|A/Utah/08/2011|HA|pdm09|02/18/2011
H1,2011700529_186867_v1_4|A/Utah/05/2010|HA|pdm09|10/12/2010
H1,2011704054_192916_v1_4|A/Florida/03/2011|HA|pdm09|01/04/2011
H1,2011770116_200273_v1_4|A/Kansas/07/2011|HA|pdm09|03/01/2011
H1,2011764481_199545_v1_4|A/Kansas/02/2011|HA|pdm09|01/19/2011
H1,2011764806_196603_v1_4|A/Kansas/06/2011|HA|pdm09|02/08/2011
H1,2012783723_215239_v1_4|A/Texas/34/2012|HA|pdm09|03/08/2012
H1,A/New_York/WC-LVD-12-046/2012|A/New_York/WC-LVD-12-046/2012|HA|unknown|04/17/2012
H1,A/New_York/WC-LVD-12-042/2012|A/New_York/WC-LVD-12-042/2012|HA|unknown|03/20/2012
H1,A/New_York/WC-LVD-12-041/2012|A/New_York/WC-LVD-12-041/2012|HA|unknown|04/20/2012
H1,A/New_York/WC-LVD-12-036/2012|A/New_York/WC-LVD-12-036/2012|HA|unknown|03/23/2012
H1,A/New_York/WC-LVD-12-035/2012|A/New_York/WC-LVD-12-035/2012|HA|unknown|03/20/2012
H1,A/New_York/WC-LVD-12-034/2012|A/New_York/WC-LVD-12-034/2012|HA|unknown|03/18/2012
H1,A/New_York/WC-LVD-12-029/2012|A/New_York/WC-LVD-12-029/2012|HA|unknown|04/02/2012
H1,A/New_York/WC-LVD-12-027/2012|A/New_York/WC-LVD-12-027/2012|HA|unknown|03/28/2012
H1,A/Bronx/INS3_673/2012|A/Bronx/INS3_673/2012|HA|unknown|03/06/2012
H1,A/Durham/INS3_648/2012|A/Durham/INS3_648/2012|HA|unknown|03/08/2012
H1,A/Arizona/M20/2012|A/Arizona/M20/2012|HA|unknown|04/13/2012
H1,A/Arizona/M8/2012|A/Arizona/M8/2012|HA|unknown|03/14/2012
H1,A/Boston/DOA93/2012|A/Boston/DOA93/2012|HA|unknown|03/26/2012
H1,A/Boston/DOA90/2012|A/Boston/DOA90/2012|HA|unknown|02/21/2012
H1,2012705224_210237_v1_4|A/Illinois/01/2012|HA|pdm09|01/25/2012
H1,2012703521_210595_v1_4|A/Texas/18/2012|HA|pdm09|02/01/2012
H1,2012704693_216227_v1_4|A/Washington/22/2012|HA|pdm09|03/20/2012
H1,2012703848_211751_v1_4|A/West_Virginia/02/2012|HA|pdm09|01/31/2012
H1,2012705467_214804_v1_4|A/Utah/11/2012|HA|pdm09|03/15/2012
H1,2012705181_210363_v1_4|A/Utah/06/2012|HA|pdm09|02/02/2012
H1,2012705089_209418_v1_4|A/Utah/01/2012|HA|pdm09|01/17/2012
H1,2012785656_217257_v1_4|A/Virginia/11/2012|HA|pdm09|04/25/2012
H1,2012703430_214939_v1_4|A/Virginia/07/2012|HA|pdm09|03/09/2012
H1,2012704649_215474_v1_4|A/California/25/2012|HA|pdm09|03/30/2012
H1,2012783661_214851_v1_4|A/California/21/2012|HA|pdm09|02/20/2012
H1,2012704145_211034_v1_4|A/California/16/2012|HA|pdm09|01/18/2012
H1,2012704027_207924_v1_4|A/California/32/2011|HA|pdm09|11/16/2011
H1,2012700704_206555_v1_4|A/California/24/2011|HA|pdm09|09/15/2011
H1,2012785008_214662_v1_4|A/Ohio/04/2012|HA|pdm09|03/02/2012
H1,2012704800_216212_v1_4|A/Nevada/17/2012|HA|pdm09|04/04/2012
H1,2012704458_214808_v1_4|A/Nevada/11/2012|HA|pdm09|03/03/2012
H1,2012784193_212737_v1_4|A/Rhode_Island/02/2012|HA|pdm09|02/29/2012
H1,2012704662_216456_v1_4|A/Arizona/08/2012|HA|pdm09|01/24/2012
H1,2011773876_207801_v1_4|A/Hawaii/05/2011|HA|pdm09|09/07/2011
H1,2011773878_205798_v1_4|A/Hawaii/05/2011|HA|pdm09|09/07/2011
H1,2012704570_215572_v1_4|A/Oklahoma/03/2012|HA|pdm09|03/05/2012
H1,2012701972_209206_v1_4|A/New_York/21/2011|HA|pdm09|12/14/2011
H1,2012705292_211628_v1_4|A/Tennessee/02/2012|HA|pdm09|02/02/2012
H1,2012783650_215402_v1_4|A/Louisiana/03/2012|HA|pdm09|04/03/2012
H1,2012704558_215039_v1_4|A/Louisiana/01/2012|HA|pdm09|03/15/2012
H1,2012701021_206907_v1_4|A/Wisconsin/26/2011|HA|pdm09|10/16/2011
H1,2012703182_211724_v1_4|A/Missouri/04/2012|HA|pdm09|02/06/2012
H1,2012785151_216429_v1_4|A/Florida/13/2012|HA|pdm09|04/03/2012
H1,2012704767_216652_v1_4|A/Iowa/12/2012|HA|pdm09|04/14/2012
H1,2012704765_216651_v1_4|A/Iowa/11/2012|HA|pdm09|04/12/2012
H1,2012784917_214654_v1_4|A/Indiana/02/2012|HA|pdm09|03/02/2012
H1,2012784300_212025_v1_4|A/Texas/27/2012|HA|pdm09|02/23/2012
H1,2012704097_209072_v1_4|A/Oregon/13/2011|HA|pdm09|12/16/2011
H1,2012704716_215500_v1_4|A/Texas/47/2012|HA|pdm09|04/01/2012
H1,2012785083_215898_v1_4|A/Kentucky/08/2012|HA|pdm09|03/29/2012
H1,2012705333_213386_v1_4|A/Kentucky/03/2012|HA|pdm09|02/10/2012
H1,2012704672_215065_v1_4|A/Alaska/01/2012|HA|pdm09|03/14/2012
H1,2012785632_217277_v1_4|A/Pennsylvania/08/2012|HA|pdm09|04/16/2012
H1,2012703419_214931_v1_4|A/Pennsylvania/06/2012|HA|pdm09|03/17/2012
H1,2012701908_208176_v1_4|A/Pennsylvania/16/2011|HA|pdm09|12/19/2011
H1,2012700631_206184_v1_4|A/Pennsylvania/14/2011|HA|pdm09|09/26/2011
H1,2012783563_217930_v1_4|A/Georgia/08/2012|HA|pdm09|03/07/2012
H1,2012784411_214802_v1_4|A/Georgia/09/2012|HA|pdm09|02/24/2012
H1,2012704507_214981_v1_4|A/Texas/35/2012|HA|pdm09|03/19/2012
H1,2012785137_216449_v1_4|A/South_Carolina/10/2012|HA|pdm09|04/08/2012
H1,2012701663_207524_v1_4|A/South_Carolina/07/2011|HA|pdm09|11/29/2011
H1,2012786105_216948_v1_4|A/Illinois/03/2012|HA|pdm09|04/16/2012
H1,2012785106_215859_v1_4|A/Illinois/04/2012|HA|pdm09|02/29/2012
H1,2012785107_215860_v1_4|A/Illinois/05/2012|HA|pdm09|03/02/2012
H1,2012785110_215863_v1_4|A/Illinois/07/2012|HA|pdm09|03/12/2012
H1,2012785109_215862_v1_4|A/Illinois/06/2012|HA|pdm09|03/08/2012
H1,2012785090_215856_v1_4|A/Wyoming/09/2012|HA|pdm09|04/05/2012
H1,2012705487_214646_v1_4|A/Wyoming/06/2012|HA|pdm09|03/10/2012
H1,2012703517_209921_v1_4|A/Vermont/02/2012|HA|pdm09|02/01/2012
H1,2012701912_208894_v1_4|A/Vermont/16/2011|HA|pdm09|12/22/2011
H1,2012704879_218560_v1_4|A/Idaho/15/2012|HA|pdm09|04/18/2012
H1,2012704496_213689_v1_4|A/Idaho/07/2012|HA|pdm09|02/18/2012
H1,2012704282_213143_v1_4|A/Idaho/05/2012|HA|pdm09|01/31/2012
H1,2012703519_210344_v1_4|A/Idaho/03/2012|HA|pdm09|01/27/2012
H1,2012785557_221605_v1_4|A/Maryland/13/2012|HA|pdm09|04/01/2012
H1,2012703151_211320_v1_4|A/Maryland/03/2012|HA|pdm09|01/28/2012
H1,2012783405_213821_v1_4|A/Texas/23/2012|HA|pdm09|01/26/2012
H1,2012785457_215719_v1_4|A/Maine/06/2012|HA|pdm09|04/04/2012
H1,2012703335_213528_v1_4|A/Maine/03/2012|HA|pdm09|03/06/2012
H1,2012702681_209395_v1_4|A/Maine/01/2012|HA|pdm09|01/11/2012
H1,2012704723_216230_v1_4|A/New_Mexico/08/2012|HA|pdm09|03/29/2012
H1,2012704484_214506_v1_4|A/New_Mexico/05/2012|HA|pdm09|03/06/2012
H1,2012787684_219569_v1_4|A/New_York/34/2012|HA|pdm09|04/17/2012
H1,2012785535_216336_v1_4|A/New_York/14/2012|HA|pdm09|03/22/2012
H1,2012785533_216335_v1_4|A/New_York/13/2012|HA|pdm09|03/19/2012
H1,2012785520_216329_v1_4|A/New_York/12/2012|HA|pdm09|03/07/2012
H1,2012785510_216325_v1_4|A/New_York/11/2012|HA|pdm09|03/05/2012
H1,2012786110_216466_v1_4|A/Texas/48/2012|HA|pdm09|03/16/2012
H1,2012784395_213804_v1_4|A/North_Carolina/09/2012|HA|pdm09|03/01/2012
H1,2012701022_207802_v1_4|A/Florida/27/2011|HA|pdm09|10/30/2011
H1,2012705027_207895_v1_4|A/Florida/35/2011|HA|pdm09|12/07/2011
H1,2012703255_212589_v1_4|A/Kansas/04/2012|HA|pdm09|02/13/2012
H1,A/Houston/JMM_163/2013|A/Houston/JMM_163/2013|HA|unknown|01/30/2013
H1,A/Houston/JMM_159/2013|A/Houston/JMM_159/2013|HA|unknown|02/08/2013
H1,A/Houston/JMM_64/2012|A/Houston/JMM_64/2012|HA|unknown|12/12/2012
H1,A/Houston/JMM_93/2012|A/Houston/JMM_93/2012|HA|unknown|12/28/2012
H1,A/Houston/JMM_122/2013|A/Houston/JMM_122/2013|HA|unknown|01/08/2013
H1,A/Houston/JMM_131/2013|A/Houston/JMM_131/2013|HA|unknown|01/09/2013
H1,A/Houston/JMM_148/2013|A/Houston/JMM_148/2013|HA|unknown|01/15/2013
H1,A/Texas/JMM_52/2012|A/Texas/JMM_52/2012|HA|unknown|12/06/2012
H1,A/Chicago/YGA_04123/2012|A/Chicago/YGA_04123/2012|HA|unknown|12/30/2012
H1,A/Chicago/YGA_04019/2012|A/Chicago/YGA_04019/2012|HA|unknown|12/07/2012
H1,A/Santa_Clara/YGA_03065/2013|A/Santa_Clara/YGA_03065/2013|HA|unknown|01/26/2013
H1,A/Santa_Clara/YGA_03053/2013|A/Santa_Clara/YGA_03053/2013|HA|unknown|01/19/2013
H1,A/Santa_Clara/YGA_03033/2013|A/Santa_Clara/YGA_03033/2013|HA|unknown|01/15/2013
H1,A/Santa_Clara/YGA_03030/2013|A/Santa_Clara/YGA_03030/2013|HA|unknown|01/08/2013
H1,A/Boston/YGA_02024/2013|A/Boston/YGA_02024/2013|HA|unknown|01/07/2013
H1,A/Boston/YGA_01220/2013|A/Boston/YGA_01220/2013|HA|unknown|04/26/2013
H1,A/Boston/YGA_01218/2013|A/Boston/YGA_01218/2013|HA|unknown|03/18/2013
H1,A/Boston/YGA_01185/2013|A/Boston/YGA_01185/2013|HA|unknown|01/21/2013
H1,A/Boston/YGA_01050/2012|A/Boston/YGA_01050/2012|HA|unknown|12/26/2012
H1,A/Boston/YGA_00087/2013|A/Boston/YGA_00087/2013|HA|unknown|01/30/2013
H1,A/Boston/YGA_00037/2013|A/Boston/YGA_00037/2013|HA|unknown|01/10/2013
H1,A/South_Carolina/NHRC361211/2012|A/South_Carolina/NHRC361211/2012|HA|unknown|09/21/2012
H1,A/New_York/3431/2013|A/New_York/3431/2013|HA|unknown|03/26/2013
H1,A/New_York/3430/2013|A/New_York/3430/2013|HA|unknown|03/27/2013
H1,A/Colorado/3429/2013|A/Colorado/3429/2013|HA|unknown|03/22/2013
H1,A/Kentucky/3428/2013|A/Kentucky/3428/2013|HA|unknown|03/12/2013
H1,A/Texas/3425/2013|A/Texas/3425/2013|HA|unknown|02/14/2013
H1,A/Georgia/3424/2013|A/Georgia/3424/2013|HA|unknown|02/21/2013
H1,A/South_Carolina/NHRC390666/2013|A/South_Carolina/NHRC390666/2013|HA|unknown|01/15/2013
H1,A/Illinois/NHRC395317/2013|A/Illinois/NHRC395317/2013|HA|unknown|01/28/2013
H1,A/California/NHRC392596/2013|A/California/NHRC392596/2013|HA|unknown|01/30/2013
H1,A/Oklahoma/NHRC391991/2013|A/Oklahoma/NHRC391991/2013|HA|unknown|01/28/2013
H1,A/South_Carolina/NHRC393105/2013|A/South_Carolina/NHRC393105/2013|HA|unknown|02/01/2013
H1,A/Georgia/NHRC395552/2013|A/Georgia/NHRC395552/2013|HA|unknown|03/14/2013
H1,A/California/NHRC386820/2013|A/California/NHRC386820/2013|HA|unknown|01/07/2013
H1,A/South_Carolina/NHRC395489/2013|A/South_Carolina/NHRC395489/2013|HA|unknown|02/06/2013
H1,A/Alabama/3317/2013|A/Alabama/3317/2013|HA|unknown|04/19/2013
H1,A/Illinois/3316/2013|A/Illinois/3316/2013|HA|unknown|04/09/2013
H1,A/Mississippi/3314/2013|A/Mississippi/3314/2013|HA|unknown|03/04/2013
H1,A/Mississippi/3313/2013|A/Mississippi/3313/2013|HA|unknown|01/31/2013
H1,A/Hawaii/3312/2013|A/Hawaii/3312/2013|HA|unknown|01/30/2013
H1,A/California/3311/2013|A/California/3311/2013|HA|unknown|01/29/2013
H1,A/South_Carolina/NHRC363072/2012|A/South_Carolina/NHRC363072/2012|HA|unknown|10/10/2012
H1,A/Florida/3183/2013|A/Florida/3183/2013|HA|unknown|01/16/2013
H1,A/New_York/3218/2013|A/New_York/3218/2013|HA|unknown|01/07/2013
H1,A/Florida/3078/2012|A/Florida/3078/2012|HA|unknown|12/12/2012
H1,A/South_Carolina/3042/2012|A/South_Carolina/3042/2012|HA|unknown|10/03/2012
H1,2013758219_232898_v1_4|A/New_York/02/2013|HA|pdm09|01/22/2013
H1,2013758220_232897_v1_4|A/Washington/05/2013|HA|pdm09|01/18/2013
H1,2013761252_236931_v1_4|A/Michigan/05/2013|HA|pdm09|01/31/2013
H1,2013703600_231942_v1_4|A/Texas/07/2013|HA|pdm09|01/05/2013
H1,2013703969_235000_v1_4|A/Minnesota/02/2013|HA|pdm09|03/01/2013
H1,2013705952_231377_v1_4|A/Minnesota/34/2012|HA|pdm09|12/20/2012
H1,2013705731_228625_v1_4|A/Minnesota/26/2012|HA|pdm09|12/13/2012
H1,2013702801_237642_v1_4|A/California/19/2013|HA|pdm09|03/09/2013
H1,2013702572_234429_v1_4|A/California/17/2013|HA|pdm09|01/12/2013
H1,2013701474_229268_v1_4|A/Ohio/106/2012|HA|pdm09|11/29/2012
H1,2013705611_227968_v1_4|A/Rhode_Island/10/2012|HA|pdm09|12/05/2012
H1,2013702686_236121_v1_4|A/Arizona/01/2013|HA|pdm09|01/14/2013
H1,2013704779_231581_v1_4|A/Hawaii/47/2012|HA|pdm09|12/16/2012
H1,2013703854_233882_v1_4|A/Nebraska/05/2013|HA|pdm09|02/06/2013
H1,2013700314_224976_v1_4|A/New_York/36/2012|HA|pdm09|10/02/2012
H1,2013705417_231705_v1_4|A/Tennessee/01/2013|HA|pdm09|01/09/2013
H1,2013700834_225894_v1_4|A/Tennessee/09/2012|HA|pdm09|10/31/2012
H1,2013703239_234228_v1_4|A/Alabama/04/2013|HA|pdm09|02/25/2013
H1,2013702787_237015_v1_4|A/Louisiana/05/2013|HA|pdm09|04/11/2013
H1,2013702561_234432_v1_4|A/Louisiana/03/2013|HA|pdm09|02/19/2013
H1,2013703691_233067_v1_4|A/Missouri/03/2013|HA|pdm09|02/05/2013
H1,2013703345_235104_v1_4|A/Florida/10/2013|HA|pdm09|03/11/2013
H1,2013758689_234872_v1_4|A/Florida/07/2013|HA|pdm09|02/26/2013
H1,2013703188_233996_v1_4|A/Indiana/03/2013|HA|pdm09|02/02/2013
H1,2013703006_233173_v1_4|A/Indiana/02/2013|HA|pdm09|01/14/2013
H1,2013705223_227789_v1_4|A/Indiana/167/2012|HA|pdm09|11/25/2012
H1,2013760793_239371_v1_4|A/Texas/27/2013|HA|pdm09|03/18/2013
H1,2013703455_236264_v1_4|A/Kentucky/04/2013|HA|pdm09|03/30/2013
H1,2013703057_233397_v1_4|A/Kentucky/02/2013|HA|pdm09|02/08/2013
H1,2013705384_231717_v1_4|A/Kentucky/23/2012|HA|pdm09|12/25/2012
H1,2013758293_232888_v1_4|A/Pennsylvania/01/2013|HA|pdm09|01/18/2013
H1,2013705553_226643_v1_4|A/Pennsylvania/25/2012|HA|pdm09|11/23/2012
H1,2013703404_235724_v1_4|A/Colorado/03/2013|HA|pdm09|03/23/2013
H1,2013761385_237780_v1_4|A/Georgia/02/2013|HA|pdm09|04/08/2013
H1,2013700845_225599_v1_4|A/South_Carolina/19/2012|HA|pdm09|10/22/2012
H1,2013705305_229887_v1_4|A/Wyoming/31/2012|HA|pdm09|12/26/2012
H1,2013702645_234851_v1_4|A/Idaho/04/2013|HA|pdm09|02/08/2013
H1,2013700823_226578_v1_4|A/Maryland/37/2012|HA|pdm09|11/08/2012
H1,2013700023_224227_v1_4|A/Maryland/31/2012|HA|pdm09|09/24/2012
H1,2013703949_234537_v1_4|A/Texas/10/2013|HA|pdm09|03/03/2013
H1,2013705529_226650_v1_4|A/Texas/90/2012|HA|pdm09|10/18/2012
H1,2013702806_237143_v1_4|A/New_Mexico/10/2013|HA|pdm09|04/10/2013
H1,2013704868_232103_v1_4|A/New_Mexico/02/2013|HA|pdm09|01/06/2013
H1,2013701410_228129_v1_4|A/New_York/45/2012|HA|pdm09|12/02/2012
H1,2013703231_234230_v1_4|A/North_Carolina/03/2013|HA|pdm09|02/13/2013
H1,2013762742_235992_v1_4|A/New_Jersey/04/2013|HA|pdm09|03/19/2013
H1,2013705724_228801_v1_4|A/New_Jersey/11/2012|HA|pdm09|12/08/2012
H1,2013763220_236872_v1_4|A/Utah/05/2013|HA|pdm09|04/14/2013
H1,2013705467_232626_v1_4|A/Utah/04/2013|HA|pdm09|02/03/2013
H1,2013705398_231696_v1_4|A/Utah/01/2013|HA|pdm09|01/20/2013
H1,A/New_York/WC-LVD-14-058/2014|A/New_York/WC-LVD-14-058/2014|HA|unknown|03/28/2014
H1,A/New_York/WC-LVD-14-056/2014|A/New_York/WC-LVD-14-056/2014|HA|unknown|03/27/2014
H1,A/New_York/WC-LVD-14-046/2014|A/New_York/WC-LVD-14-046/2014|HA|unknown|03/06/2014
H1,A/New_York/WC-LVD-14-026/2014|A/New_York/WC-LVD-14-026/2014|HA|unknown|02/09/2014
H1,A/New_York/WC-LVD-14-024/2014|A/New_York/WC-LVD-14-024/2014|HA|unknown|02/04/2014
H1,A/New_York/WC-LVD-14-002/2014|A/New_York/WC-LVD-14-002/2014|HA|unknown|01/06/2014
H1,A/New_York/WC-LVD-13-019/2013|A/New_York/WC-LVD-13-019/2013|HA|unknown|12/19/2013
H1,A/Hawaii/12/2014|A/Hawaii/12/2014|HA|unknown|04/12/2014
H1,A/Wisconsin/V140586/2014|A/Wisconsin/V140586/2014|HA|unknown|01/01/2014
H1,A/Wisconsin/U140244/2014|A/Wisconsin/U140244/2014|HA|unknown|01/01/2014
H1,A/Wisconsin/U140092/2013|A/Wisconsin/U140092/2013|HA|unknown|12/01/2013
H1,A/California/NHRC420942/2014|A/California/NHRC420942/2014|HA|unknown|01/12/2014
H1,A/New_Jersey/NHRC431116/2014|A/New_Jersey/NHRC431116/2014|HA|unknown|01/20/2014
H1,A/South_Carolina/NHRC419441/2013|A/South_Carolina/NHRC419441/2013|HA|unknown|12/27/2013
H1,A/Ohio/3803/2014|A/Ohio/3803/2014|HA|unknown|03/26/2014
H1,A/New_York/3798/2014|A/New_York/3798/2014|HA|unknown|03/31/2014
H1,A/District_of_Columbia/3731/2014|A/District_of_Columbia/3731/2014|HA|unknown|01/24/2014
H1,A/California/3725/2014|A/California/3725/2014|HA|unknown|01/24/2014
